source_id,actual_path,document_type,chapter_or_section,title,topics,question_count,solution_count,formula_count,content_length,content_hash,extraction_status,extracted_records
SRC-MD-B08A1BE0417C,sources/activities/Activity_1.md,activity,cumulative,Activity 1,"[""factoring"", ""functions"", ""polynomials""]",9,0,9,1395,b08a1be0417c920372f6810322565559371c3ec0ce13467956513fbe4fe22da2,complete,"[{""record_type"": ""question"", ""label"": ""Q.1"", ""content"": ""Simplify the expression \\[ 5x-\\[3-4(x-2)\\]. \\]""}, {""record_type"": ""question"", ""label"": ""Q.2"", ""content"": ""Simplify the expression shown on the activity sheet involving \\[\n3x,`\\quad 2`{=tex},`\\quad `{=tex}10y,`\\quad `{=tex}5y,`\\quad `{=tex}6x\n\\] and division signs.\n\n> The source extraction does not preserve the fraction layout clearly\n> enough to reconstruct Q.2 one-for-one without guessing, so the\n> ambiguous layout is explicitly retained rather than silently\n> corrected.""}, {""record_type"": ""question"", ""label"": ""Q.3"", ""content"": ""Convert to scientific notation: \\[ -0.00052. \\]""}, {""record_type"": ""question"", ""label"": ""Q.4"", ""content"": ""Simplify the expression \\[\n`\\left`{=tex}(`\\frac{3x}{2yz}`{=tex}`\\right`{=tex})\\^2 `\\cdot`{=tex}\n`\\left`{=tex}(`\\frac{y^{-1}z}{x^5}`{=tex}`\\right`{=tex}) \\] and write\nyour answer with only positive exponents.""}, {""record_type"": ""question"", ""label"": ""Q.5"", ""content"": ""Simplify the expression \\[\n`\\sqrt[3]{16x^5y^3}`{=tex}`\\cdot`{=tex}`\\sqrt[3]{xy}`{=tex}. \\]""}, {""record_type"": ""question"", ""label"": ""Q.6"", ""content"": ""Rationalize the denominator of the expression shown on the sheet\ninvolving \\[ 2x,`\\quad `{=tex}2y,`\\quad `{=tex}`\\sqrt[3]{y^4}`{=tex}. \\]\n\n> The source extraction compresses the fraction layout on Q.6, so no\n> unsupported rearrangement has been inserted.""}, {""record_type"": ""question"", ""label"": ""Q.7"", ""content"": ""Factor the polynomial \\[ x^6-27y^3. \\]""}, {""record_type"": ""question"", ""label"": ""Q.8"", ""content"": ""Expand and simplify \\[ (3x-4y)(xy-6x\\^2). \\]""}, {""record_type"": ""question"", ""label"": ""Q.9"", ""content"": ""Express as a polynomial: \\[\n(`\\sqrt{x}`{=tex}+`\\sqrt{y}`{=tex})(`\\sqrt{x}`{=tex}-`\\sqrt{y}`{=tex}).\n\\]""}, {""record_type"": ""formula"", ""label"": ""formula-1"", ""content"": ""5x-\\[3-4(x-2)""}, {""record_type"": ""formula"", ""label"": ""formula-2"", ""content"": ""3x,`\\quad 2`{=tex},`\\quad `{=tex}10y,`\\quad `{=tex}5y,`\\quad `{=tex}6x""}, {""record_type"": ""formula"", ""label"": ""formula-3"", ""content"": ""-0.00052.""}, {""record_type"": ""formula"", ""label"": ""formula-4"", ""content"": ""`\\left`{=tex}(`\\frac{3x}{2yz}`{=tex}`\\right`{=tex})\\^2 `\\cdot`{=tex}\n`\\left`{=tex}(`\\frac{y^{-1}z}{x^5}`{=tex}`\\right`{=tex})""}, {""record_type"": ""formula"", ""label"": ""formula-5"", ""content"": ""`\\sqrt[3]{16x^5y^3}`{=tex}`\\cdot`{=tex}`\\sqrt[3]{xy}`{=tex}.""}, {""record_type"": ""formula"", ""label"": ""formula-6"", ""content"": ""2x,`\\quad `{=tex}2y,`\\quad `{=tex}`\\sqrt[3]{y^4}`{=tex}.""}, {""record_type"": ""formula"", ""label"": ""formula-7"", ""content"": ""x^6-27y^3.""}, {""record_type"": ""formula"", ""label"": ""formula-8"", ""content"": ""(3x-4y)(xy-6x\\^2).""}, {""record_type"": ""formula"", ""label"": ""formula-9"", ""content"": ""(`\\sqrt{x}`{=tex}+`\\sqrt{y}`{=tex})(`\\sqrt{x}`{=tex}-`\\sqrt{y}`{=tex}).""}, {""record_type"": ""topic"", ""label"": ""factoring"", ""content"": ""factoring""}, {""record_type"": ""topic"", ""label"": ""functions"", ""content"": ""functions""}, {""record_type"": ""topic"", ""label"": ""polynomials"", ""content"": ""polynomials""}]"
SRC-MD-A7D6598CA4E8,sources/activities/Activity_2.md,activity,cumulative,Activity 2,"[""factoring"", ""polynomials""]",4,0,4,680,a7d6598ca4e8fa627e45f57a6dc250c714d035c45d02648361091f399260935b,complete,"[{""record_type"": ""question"", ""label"": ""Q.1"", ""content"": ""Fully factor the polynomial\n\n\\[ `\\boxed{9x^2+6x+1-y^2}`{=tex}. \\]""}, {""record_type"": ""question"", ""label"": ""Q.2"", ""content"": ""Rationalize the denominator:\n\n\\[ `\\boxed{\n\\frac{16x^2-y^2}{2\\sqrt{x}-\\sqrt{y}}\n}`{=tex} \\]""}, {""record_type"": ""question"", ""label"": ""Q.3"", ""content"": ""Simplify the following expression:\n\n\\[ `\\boxed{\n\\frac{\n(3x+2)^{1/2}(2x+3)^{-2/3}\n-\n(2x+3)^{1/3}(3x+2)^{-1/2}\n}{\n3x+2\n}\n}`{=tex} \\]""}, {""record_type"": ""question"", ""label"": ""Q.4"", ""content"": ""Express as a sum of terms of the form (ax\\^r), where (a) is a real\nnumber and (r) is a rational number:\n\n\\[ `\\boxed{\n\\frac{(\\sqrt{x}-3)^2}{x^3}\n}`{=tex} \\]""}, {""record_type"": ""formula"", ""label"": ""formula-1"", ""content"": ""`\\boxed{9x^2+6x+1-y^2}`{=tex}.""}, {""record_type"": ""formula"", ""label"": ""formula-2"", ""content"": ""`\\boxed{\n\\frac{16x^2-y^2}{2\\sqrt{x}-\\sqrt{y}}\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-3"", ""content"": ""`\\boxed{\n\\frac{\n(3x+2)^{1/2}(2x+3)^{-2/3}\n-\n(2x+3)^{1/3}(3x+2)^{-1/2}\n}{\n3x+2\n}\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-4"", ""content"": ""`\\boxed{\n\\frac{(\\sqrt{x}-3)^2}{x^3}\n}`{=tex}""}, {""record_type"": ""topic"", ""label"": ""factoring"", ""content"": ""factoring""}, {""record_type"": ""topic"", ""label"": ""polynomials"", ""content"": ""polynomials""}]"
SRC-MD-EDF108F3A463,sources/activities/Activity_3.md,activity,cumulative,Activity 3,"[""completing the square"", ""equations""]",7,0,6,1421,edf108f3a4631b1903128662462ad615e57dd10ff24278f3f263fe39da8534a5,complete,"[{""record_type"": ""question"", ""label"": ""Q.1"", ""content"": ""Solve the equation:\n\n\\[ `\\boxed{\n\\frac{3}{7x-2}\n=\n\\frac{9}{3x+1}\n}`{=tex} \\]""}, {""record_type"": ""question"", ""label"": ""Q.2 --- Lawn Mowing Rates"", ""content"": ""It takes a boy **90 minutes** to mow the lawn, but his sister can mow it\nin **60 minutes**.\n\nHow long would it take them to mow the lawn if they worked together,\nusing two lawn mowers?""}, {""record_type"": ""question"", ""label"": ""Q.3"", ""content"": ""Complete the square:\n\n\\[ `\\boxed{4x^2-12-11}`{=tex} \\]\n\n> The source itself visibly prints the expression this way; no missing\n> variable has been inserted.""}, {""record_type"": ""question"", ""label"": ""Q.4"", ""content"": ""Solve for (x) in terms of (y):\n\n\\[ `\\boxed{\n4x^2-4xy+1-y^2=0\n}`{=tex} \\]""}, {""record_type"": ""question"", ""label"": ""Q.5 --- Distance Between Airplanes"", ""content"": ""An airplane flying north at **200 mi/hr** passed over a point on the\nground at **2:00 P.M.**\n\nAnother airplane at the same altitude passed over the same point at\n**2:30 P.M.**, flying east at **400 mi/hr**.""}, {""record_type"": ""question"", ""label"": ""Q.6"", ""content"": ""Write as a single number of the form\n\n\\[ a+bi \\]\n\nwith (a) and (b) real:\n\n\\[ `\\boxed{\n\\frac{-3-2i}{5+2i}\n}`{=tex} \\]""}, {""record_type"": ""question"", ""label"": ""Q.7"", ""content"": ""Find all real values of (x) and (y) satisfying\n\n\\[ `\\boxed{\n(x-y)+3i=7+yi\n}`{=tex} \\]""}, {""record_type"": ""formula"", ""label"": ""formula-1"", ""content"": ""`\\boxed{\n\\frac{3}{7x-2}\n=\n\\frac{9}{3x+1}\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-2"", ""content"": ""`\\boxed{4x^2-12-11}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-3"", ""content"": ""`\\boxed{\n4x^2-4xy+1-y^2=0\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-4"", ""content"": ""a+bi""}, {""record_type"": ""formula"", ""label"": ""formula-5"", ""content"": ""`\\boxed{\n\\frac{-3-2i}{5+2i}\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-6"", ""content"": ""`\\boxed{\n(x-y)+3i=7+yi\n}`{=tex}""}, {""record_type"": ""topic"", ""label"": ""completing the square"", ""content"": ""completing the square""}, {""record_type"": ""topic"", ""label"": ""equations"", ""content"": ""equations""}]"
SRC-MD-78175BDBFC4F,sources/activities/Activity_4.md,activity,cumulative,Activity 4,"[""function composition"", ""functions"", ""inverse functions""]",4,0,11,1949,78175bdbfc4f50ca450b2da687b353bd5851daf6b7321901f1000153debb29bb,complete,"[{""record_type"": ""question"", ""label"": ""Q.1 --- Finding Composite Function Values from Tables"", ""content"": ""Several values of two functions (f) and (g) are listed in the following\ntables.""}, {""record_type"": ""question"", ""label"": ""Q.2 --- Volume of a Balloon Using a Composite Function"", ""content"": ""The volume of a sphere of radius (r) is\n\n\\[ `\\boxed{\nV=\\frac{4\\pi r^3}{3}\n}`{=tex}. \\]\n\nA meteorologist is inflating a spherical balloon with helium gas.\n\nIf the radius of the balloon is changing at a rate of\n\n\\[ 1.5`\\text{ cm/sec}`{=tex}, \\]\n\nexpress the volume (V) of the balloon as a function of time (t), in\nseconds.""}, {""record_type"": ""question"", ""label"": ""Q.3 --- Find the Inverses"", ""content"": ""Find the inverses of the following functions.""}, {""record_type"": ""question"", ""label"": ""Q.4 --- Graph of an Inverse Function"", ""content"": ""The graph of a one-to-one function (f) is shown in the source.""}, {""record_type"": ""formula"", ""label"": ""formula-1"", ""content"": ""`\\boxed{\n(f\\circ g)(2),\\quad\n(g\\circ f)(2),\\quad\n(f\\circ f)(2),\\quad\n(g\\circ g)(2)\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-2"", ""content"": ""`\\boxed{\nV=\\frac{4\\pi r^3}{3}\n}`{=tex}.""}, {""record_type"": ""formula"", ""label"": ""formula-3"", ""content"": ""1.5`\\text{ cm/sec}`{=tex},""}, {""record_type"": ""formula"", ""label"": ""formula-4"", ""content"": ""`\\boxed{\nf(x)=2-3x^2,\\qquad x\\le0\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-5"", ""content"": ""`\\boxed{\nf(x)=2x^3-5\n}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-6"", ""content"": ""f\\^{-1}.""}, {""record_type"": ""formula"", ""label"": ""formula-7"", ""content"": ""`\\boxed{y=x}`{=tex}.""}, {""record_type"": ""formula"", ""label"": ""formula-8"", ""content"": ""f\\^{-1}.""}, {""record_type"": ""formula"", ""label"": ""formula-9"", ""content"": ""`\\boxed{\\left(-1,\\frac12\\right)}`{=tex}""}, {""record_type"": ""formula"", ""label"": ""formula-10"", ""content"": ""`\\boxed{(2,4)}`{=tex}.""}, {""record_type"": ""formula"", ""label"": ""formula-11"", ""content"": ""y=x.""}, {""record_type"": ""topic"", ""label"": ""function composition"", ""content"": ""function composition""}, {""record_type"": ""topic"", ""label"": ""functions"", ""content"": ""functions""}, {""record_type"": ""topic"", ""label"": ""inverse functions"", ""content"": ""inverse functions""}]"
SRC-MD-6EBBA7A87CC9,sources/final exam review/Version_1_With_Solutions.md,practice_final_solution,cumulative,Version 1 (With Solutions),"[""logarithms"", ""radicals""]",1,1,0,1198437,6ebba7a87cc912008e9b6bbdf2c74c9db0861c3229582593ad1e775815ad4909,complete,"[{""record_type"": ""question"", ""label"": ""question-10"", ""content"": ""10 . Exact answers may contain rt or radicals or logarithms.""}, {""record_type"": ""topic"", ""label"": ""logarithms"", ""content"": ""logarithms""}, {""record_type"": ""topic"", ""label"": ""radicals"", ""content"": ""radicals""}, {""record_type"": ""solution"", ""label"": ""question-10"", ""content"": ""10 . Exact answers may contain rt or radicals or logarithms.""}]"
SRC-MD-637BE8034D95,sources/final exam review/Version_1_Without_Solutions.md,practice_final,cumulative,Version 1 (Without Solutions),"[""compound interest"", ""coordinate plane"", ""exponential functions"", ""factoring"", ""functions"", ""inequalities"", ""inverse functions"", ""lines"", ""logarithms"", ""polynomials"", ""radicals""]",25,0,0,863311,637be8034d95fd5c8879fa48f35cb89aa097b11e97891f52efe7bdf3550d14b9,complete,"[{""record_type"": ""question"", ""label"": ""question-10"", ""content"": ""10. Exact answers may contain \uf070 or radicals or logarithms.""}, {""record_type"": ""question"", ""label"": ""question-13"", ""content"": ""1.   Simplify.                                                                                           (1.2 #29)""}, {""record_type"": ""question"", ""label"": ""question-14"", ""content"": ""2.   Factor the polynomial.                                                                              (1.3 #97)""}, {""record_type"": ""question"", ""label"": ""question-15"", ""content"": ""3.    Simplify the expression.                                                                           (1.4 #37)""}, {""record_type"": ""question"", ""label"": ""question-16"", ""content"": ""4.   Solve for the specified variable.                                                                   (2.1 #73)""}, {""record_type"": ""question"", ""label"": ""question-17"", ""content"": ""5.   Movie attendance Six hundred people attended the premiere of a motion picture. Adult tickets cost $9,""}, {""record_type"": ""question"", ""label"": ""question-18"", ""content"": ""6.   Fencing a region A farmer plans to enclose a rectangular region, using part of his barn for one side and""}, {""record_type"": ""question"", ""label"": ""question-19"", ""content"": ""7.   Write the expression in the form a + bi , where a and b are real numbers.                               (2.4 #23)""}, {""record_type"": ""question"", ""label"": ""question-20"", ""content"": ""8.   Solve for the specified variable.                                                                       (2.5 #55)""}, {""record_type"": ""question"", ""label"": ""question-21"", ""content"": ""9.   Solve the inequality, and express the solutions in terms of intervals whenever possible.   (2.6 #33)""}, {""record_type"": ""question"", ""label"": ""question-22"", ""content"": ""10. Solve the inequality. Express the solution in interval notation.                            (2.7 #37)""}, {""record_type"": ""question"", ""label"": ""question-23"", ""content"": ""11. Given the points A(4, \u2212 3) and B(6, 2).                                                      (3.1 #9)""}, {""record_type"": ""question"", ""label"": ""question-24"", ""content"": ""12. Sketch the graph y = x \u2212 4 , and label the x- and y-intercepts.                                        (3.2 #20)""}, {""record_type"": ""question"", ""label"": ""question-25"", ""content"": ""13. For the given circle, find the x-intercepts.                                                           (3.2 #67)""}, {""record_type"": ""question"", ""label"": ""question-26"", ""content"": ""14. Given the points A(3, \u2212 1) and B( \u22122, 6).      Find an equation (in slope-intercept form) for the perpendicular""}, {""record_type"": ""question"", ""label"": ""question-27"", ""content"": ""15. Childhood growth For children between ages 6 and 10, height y (in inches) is frequently a linear function""}, {""record_type"": ""question"", ""label"": ""question-28"", ""content"": ""16. Determine whether f is even, odd, or neither even nor odd.                                             (3.5 #4)""}, {""record_type"": ""question"", ""label"": ""question-29"", ""content"": ""17. Height of a projectile An object is projected vertically upward from the top of a building with an initial""}, {""record_type"": ""question"", ""label"": ""question-30"", ""content"": ""18. Given f ( x ) =        and g ( x ) =     .                                   (3.7 #7)""}, {""record_type"": ""question"", ""label"": ""question-31"", ""content"": ""19. Given f ( x) = x 3 + 2 x 2 \u2212 4 x \u2212 8 .                                      (4.1 #23)""}, {""record_type"": ""question"", ""label"": ""question-32"", ""content"": ""20. Find the quotient and the remainder if 3x 5 + 6 x 2 + 7 is divided x + 2.                (4.2 #25)""}, {""record_type"": ""question"", ""label"": ""question-33"", ""content"": ""21. Given the one-to-one function f ( x) = 3 x + 1 , find the inverse function, f \u22121( x) .   (5.1 #37)""}, {""record_type"": ""question"", ""label"": ""question-34"", ""content"": ""22. Sketch the graphs and dash in the asymptotes.                                                       (5.3 #1)""}, {""record_type"": ""question"", ""label"": ""question-35"", ""content"": ""23. Radioactive iodine decay Radioactive iodine 131 I is frequently used in tracer studies involving the""}, {""record_type"": ""question"", ""label"": ""question-36"", ""content"": ""24. Find the exact value for the solution of the equation.                                             (5.6 #19)""}, {""record_type"": ""topic"", ""label"": ""compound interest"", ""content"": ""compound interest""}, {""record_type"": ""topic"", ""label"": ""coordinate plane"", ""content"": ""coordinate plane""}, {""record_type"": ""topic"", ""label"": ""exponential functions"", ""content"": ""exponential functions""}, {""record_type"": ""topic"", ""label"": ""factoring"", ""content"": ""factoring""}, {""record_type"": ""topic"", ""label"": ""functions"", ""content"": ""functions""}, {""record_type"": ""topic"", ""label"": ""inequalities"", ""content"": ""inequalities""}, {""record_type"": ""topic"", ""label"": ""inverse functions"", ""content"": ""inverse functions""}, {""record_type"": ""topic"", ""label"": ""lines"", ""content"": ""lines""}, {""record_type"": ""topic"", ""label"": ""logarithms"", ""content"": ""logarithms""}, {""record_type"": ""topic"", ""label"": ""polynomials"", ""content"": ""polynomials""}, {""record_type"": ""topic"", ""label"": ""radicals"", ""content"": ""radicals""}]"
SRC-MD-E73A72E1C3C7,sources/final exam review/Version_2_With_Solutions.md,practice_final_solution,cumulative,Version 2 (With Solutions)(1),"[""exponential functions"", ""logarithms"", ""radicals""]",1,1,0,1276915,e73a72e1c3c7d1dfaadbe26226c32d95ff6a6033ea6f6b0ae3f2dd392f4244f8,complete,"[{""record_type"": ""question"", ""label"": ""question-10"", ""content"": ""10. Exact answers may contain 7t or radicals or logarithms.""}, {""record_type"": ""topic"", ""label"": ""exponential functions"", ""content"": ""exponential functions""}, {""record_type"": ""topic"", ""label"": ""logarithms"", ""content"": ""logarithms""}, {""record_type"": ""topic"", ""label"": ""radicals"", ""content"": ""radicals""}, {""record_type"": ""solution"", ""label"": ""question-10"", ""content"": ""10. Exact answers may contain 7t or radicals or logarithms.""}]"
SRC-MD-6A078322AE1D,sources/final exam review/Version_2_Without_Solutions.md,practice_final,cumulative,Version 2 (Without Solutions)(1),"[""compound interest"", ""equations"", ""exponential functions"", ""functions"", ""inequalities"", ""inverse functions"", ""lines"", ""logarithms"", ""polynomials"", ""radicals""]",28,0,0,764870,6a078322ae1db719178a4a8208711f69a45f41165500c8be2dd67c1300ea3d43,complete,"[{""record_type"": ""question"", ""label"": ""question-10"", ""content"": ""10. Exact answers may contain \uf070 or radicals or logarithms.""}, {""record_type"": ""question"", ""label"": ""question-13"", ""content"": ""1.   Simplify the expression, assuming x and y may be negative.                                          (1.2 #83)""}, {""record_type"": ""question"", ""label"": ""question-14"", ""content"": ""2.   Express as a polynomial.                                                                            (1.3 #35)""}, {""record_type"": ""question"", ""label"": ""question-15"", ""content"": ""3.    Simplify the expression.                                                                           (1.4 #73)""}, {""record_type"": ""question"", ""label"": ""question-16"", ""content"": ""4.   Solve for the specified variable.                                                                   (2.1 #41)""}, {""record_type"": ""question"", ""label"": ""question-17"", ""content"": ""5.   Delivering Newspapers It takes a girl 45 minutes to deliver the newspapers on her route; however, if her""}, {""record_type"": ""question"", ""label"": ""question-18"", ""content"": ""6.   Solve for the specified variable.                                                                (2.3 #53)""}, {""record_type"": ""question"", ""label"": ""question-19"", ""content"": ""7.   Find the solutions of the equation.                                                              (2.4 #56)""}, {""record_type"": ""question"", ""label"": ""question-20"", ""content"": ""8.   Solve the equation.                                                                                (2.5 #5)""}, {""record_type"": ""question"", ""label"": ""question-21"", ""content"": ""9.   Solve the inequality, and express the solutions in terms of intervals whenever possible.         (2.6 #65)""}, {""record_type"": ""question"", ""label"": ""question-22"", ""content"": ""9.                                (4)""}, {""record_type"": ""question"", ""label"": ""question-23"", ""content"": ""10. Solve the inequality, and express the solutions in terms of intervals whenever possible.          (2.7 #31)""}, {""record_type"": ""question"", ""label"": ""question-24"", ""content"": ""11. Given the points A( \u22124, \u2212 3) and B(6,1). Find a formula that expresses the fact that an arbitrary point""}, {""record_type"": ""question"", ""label"": ""question-25"", ""content"": ""12. Sketch the graph x = \u2212 y 2 + 3 , and label the x- and y-intercepts.                               (3.2 #11)""}, {""record_type"": ""question"", ""label"": ""question-26"", ""content"": ""13. Find an equation of the circle with center C (\u22124, 6) and passing through the point P (1, 2) .     (3.2 #39)""}, {""record_type"": ""question"", ""label"": ""question-27"", ""content"": ""13.                                     (4)""}, {""record_type"": ""question"", ""label"": ""question-28"", ""content"": ""14. Find a general form of an equation of the line through the point A(7, \u2212 3) that is perpendicular to the line""}, {""record_type"": ""question"", ""label"": ""question-29"", ""content"": ""15. Given f ( x) = x 2 \u2212 x + 3 . If a and h are real numbers, find                      , if h \uf0b9 0 .           (3.4 #9)""}, {""record_type"": ""question"", ""label"": ""question-30"", ""content"": ""16. Sketch the graph of f ( x) = \uf0ed x3 if \u2212 1 \uf03c x \uf03c 1                                                   (3.5 #51)""}, {""record_type"": ""question"", ""label"": ""question-31"", ""content"": ""17. Express f ( x) = \u22123x 2 \u2212 6 x \u2212 5 in the form f ( x) = a( x \u2212 h)2 + k                                       (3.6 #9)""}, {""record_type"": ""question"", ""label"": ""question-32"", ""content"": ""17.                         (4)""}, {""record_type"": ""question"", ""label"": ""question-33"", ""content"": ""18. Given f ( x ) =        and g ( x ) =     .                                                     (3.7 #33)""}, {""record_type"": ""question"", ""label"": ""question-34"", ""content"": ""19. Find the quotient and the remainder if f ( x) = 3x 3 + 2 x \u2212 4 is divided p( x) = 2 x 2 + 1.    (4.2 #3)""}, {""record_type"": ""question"", ""label"": ""question-35"", ""content"": ""20. Determine whether f ( x) = x 2 \u2212 9 is one-to-one.                                              (5.1 #7)""}, {""record_type"": ""question"", ""label"": ""question-36"", ""content"": ""21. Sketch the graphs and dash in the asymptotes.                                        (5.2 #11g and 5.4 #40)""}, {""record_type"": ""question"", ""label"": ""question-37"", ""content"": ""22. U.S. population growth The population N (t ) (in millions) of the United States t years after 1980 may""}, {""record_type"": ""question"", ""label"": ""question-38"", ""content"": ""23. Solve the equation.                                                                                (5.5 #23)""}, {""record_type"": ""question"", ""label"": ""question-39"", ""content"": ""24. Solve the compound interest formula A = P\uf0e71 + \uf0f7           for t using natural logarithms.""}, {""record_type"": ""topic"", ""label"": ""compound interest"", ""content"": ""compound interest""}, {""record_type"": ""topic"", ""label"": ""equations"", ""content"": ""equations""}, {""record_type"": ""topic"", ""label"": ""exponential functions"", ""content"": ""exponential functions""}, {""record_type"": ""topic"", ""label"": ""functions"", ""content"": ""functions""}, {""record_type"": ""topic"", ""label"": ""inequalities"", ""content"": ""inequalities""}, {""record_type"": ""topic"", ""label"": ""inverse functions"", ""content"": ""inverse functions""}, {""record_type"": ""topic"", ""label"": ""lines"", ""content"": ""lines""}, {""record_type"": ""topic"", ""label"": ""logarithms"", ""content"": ""logarithms""}, {""record_type"": ""topic"", ""label"": ""polynomials"", ""content"": ""polynomials""}, {""record_type"": ""topic"", ""label"": ""radicals"", ""content"": ""radicals""}]"
SRC-MD-D9FB0BA95F2E,sources/final exam review/Version_3_With_Solutions.md,practice_final_solution,cumulative,Version 3 (With Solutions)(1),"[""logarithms"", ""radicals""]",1,1,0,1570639,d9fb0ba95f2e326dcd726b2b5d9ad1d0b3608513ae8a44f0035fa4e4c5d9e298,complete,"[{""record_type"": ""question"", ""label"": ""question-10"", ""content"": ""10. Exact answers may contain 1t or radicals or logarithms.""}, {""record_type"": ""topic"", ""label"": ""logarithms"", ""content"": ""logarithms""}, {""record_type"": ""topic"", ""label"": ""radicals"", ""content"": ""radicals""}, {""record_type"": ""solution"", ""label"": ""question-10"", ""content"": ""10. Exact answers may contain 1t or radicals or logarithms.""}]"
SRC-MD-47982887954E,sources/final exam review/Version_3_Without_Solutions-1.md,practice_final,cumulative,Version 3 (Without Solutions)-1(1),"[""logarithms"", ""radicals""]",0,0,0,976605,47982887954e459923a9b60f515785377bb108dff4d7fbfc799f42d140d1d62e,complete,"[{""record_type"": ""topic"", ""label"": ""logarithms"", ""content"": ""logarithms""}, {""record_type"": ""topic"", ""label"": ""radicals"", ""content"": ""radicals""}]"
